KWIS 	Know What I'm Saying?
KYFC 	Keep Your Fingers Crossed
KYO 	Knock Yourself Out
KYP 	Keep You Posted
LAFS 	Love At First Sight
LAK 	Love And Kisses
LAL 	Laughing A Lot/Little
LALB 	Laughing A Little Bit
LAM 	Leave A Message
LAMN 	Look At Me Now
LAN 	Local Area Network
NMS 	Not My Style
NMT 	Not My Type
NMU 	Not Much, You?
NMW 	No Matter What
NMWH 	No Matter What Happens
NMY 	Nice Meeting You
NN 	No Need
NNITO 	Not Necessarily In That Order
NNTO 	No Need To Open
NNTP 	Network News Transfer Protocol
NNTR 	No Need To Reply
NRL 	National Rugby League
NRN 	No Reply Necessary
NSA 	No Strings Attached
NSAW 	Not Saying A Word
NSD 	Never Say Die
NSF 	Not Sufficient Funds Not So Fast
NSFA 	Not Safe For Anyone
GTBB 	Good To Be Back
GTBOSH 	Glad To Be Of Some Help
GTD 	Getting Things Done
GTG 	Got To Go
GTGG 	Got To Get Going
GTH 	Go To Hell
NSFL 	Not Safe For Life
NSFTBC 	Not Sorry For The Broadcast
NSFV 	Not Safe for Viewing
NSFW 	Not Safe For Work
NVN 	Not Very Nice
NVNG 	Nothing Ventured, Nothing Gained
NW 	No Way
NWIH 	No Way In Hell
NWIM 	Not What I Mean
NWJ 	No Way Jose
NWLY 	Never Wanna Lose You
NWM 	No Worries Mate
NWNC 	No Woman, No Cry
NWO 	New World Order
NWOT 	New Without Tags (eBay)
NWS 	Not Work Safe
NWT 	New With Tags
NY 	New York
NYB 	Not Your Business
NYC 	New York City
NYD 	New Year's Day
NYE 	New Years Eve
NYF 	Not Your Fault
NYI 	Not Yet Implemented
NYK 	Not Yet Known Now You Know
NYOB 	Not Your Own Business
NYP 	Not Your Problem
NYPD 	New York Police Department
NYSE 	New York Stock Exchange
NYT 	Not Your Type
LAPD 	Los Angeles Police Department
LARP 	Live Action Role Play
LART 	Luser Attitude Readjustment Tool
LASER 	Light Amplification by Stimulated Emission of Radiation
LAT 	Living Apart Together
LATM 	Laughing At The Moment
LBC 	Long Beach, California
LBD 	Little Black Dress
LBDN 	Look Busy Doing Nothing
IAC 	In Any Case
IAD 	It All Depends
IAE 	In Any Event
IAG 	It's All Good
IAK 	I Already Know
IAL 	I Ain't Laughing I Actually Laughed
IALTO 	I Always Love That One
IAMA 	I Am Mildly Amused
IANAD 	I Am Not A Doctor
IANAL 	I Am Not A Lawyer (this is an uninformed opinion)
IAS 	In A Second
IAU 	I Adore You
IAW 	In Accordance With I Agree With
IAWTC 	I Agree With That/This Comment
IAWTCSM 	I Agree With This Comment So Much
IAWTP 	I Agree With This Post
IAY 	I Adore You
IB 	I'm Back
IB2D 	I Beg To Differ
IB4TL 	In Before The Lock
IBAN 	International Bank Account Number
IBB 	I'll Be Back
IBK 	Idiot Behind Keyboard
IBL 	In Before Lock
IBM 	International Business Machines
IBMTS 	I've Been Meaning To Say
IBS 	Irritable Bowel Syndrome
IBTD 	In Before The Delete I Beg To Differ
IBTL 	In Before the Lock
IBUWU 	I'm Breaking Up With You
IBW 	I'll Be Waiting
IBYP 	I Beg Your Pardon
ICAM 	I Couldn't Agree More
ICAY 	I Care About You
ICB 	I Can't Believe…
ICBB 	I Can't Be Bothered
ICBI 	I Can't Believe It
ICBINB 	I Can't Believe It's Not Butter
ICBM 	Intercontinental Ballistic Missile
ICBSST 	I Can't Believe She Said That
ICBW 	It Could Be Worse
ICC 	Ice Crown Citadel ( )
ICCL 	I Couldn't Care Less
ICR 	I Can't Remember
ICSL 	I Couldn't/Can't Stop Laughing
ICSTAY 	I Can't Stop Thinking About You
ICT 	Information and Communication Technology
ICU 	Intensive Care Unit I See You
ICW 	In Connection With I Can't Wait
ICYDK 	In Case You Didn't Know
ICYMI 	In Case You Missed It
IDBI 	I Don't Believe It
IDBY 	I Don't Believe You
IDC 	I Don't Care
IDE 	Integrated Development Environment Integrated Device Electronics
IDEC 	I Don't Even Care
IDEK 	I Don't Even Know
TMTH 	Too Much To Handle
TMTOWTDI 	There's More Than One Way To Do It
TMTS 	Too Much Too Soon
TMTT 	Too Much To Text
TMY 	Tell Me Why
TMZ 	Thirty Mile Zone (celebrity news site)
TNA 	Total Nonstop Action
TNB 	There's Nothing Better
TNBM 	True Norwegian Black Metal
IDEKY 	I Don't Even Know You
IDEWTK 	I Don't Even Want To Know
IDFG 	I Don't Feel Good
IDFLI 	I Don't Feel Like It
IDGAD 	I Don't Give A Damn
IDGHP 	I Don't Get His/Her Point
IDGI 	I Don't Get It
IDHAC 	I Don't Have A Clue
IDHTT 	I Don't Have The Time
IDI 	I Doubt It
IDJ 	I Don't Judge
IDLT 	I Don't Like That
IDLY 	I Don't Love/Like You
IDM 	It Doesn't Matter Intelligent Dance Music
IDK 	I Don't Know
GMA 	Good Morning, America
GMAB 	Give Me A Break
GMT 	Greenwich Mean Time
GMTA 	Great Minds Think Alike
TFFW 	Too Funny For Words
IED 	Improvised Explosive Device
IEEE 	Institute of Electrical and Electronics Engineers
IDNK 	I Do Not Know
IDR 	I Don't Remember
IDRC 	I Don't Really Care
IDRK 	I Don't Really Know
IDST 	If Destroyed, Still True
IDT 	I Don't Think
IDTS 	I Don't Think So
IDU 	I Don't Understand
IHT 	I Hate This
IHY 	I Hate You
IHYDM 	I Hope You Don't Mind
IHYSM 	I Hate You So Much
IIB 	Ignorance Is Bliss
IIFYM 	If It Fits Your Macros
IIH 	If I'm Honest
IIL 	I'm In Love
IINM 	If I'm Not Mistaken
IIR 	Idiot In Room
IIRC 	If I Remember Correctly
IIS 	Internet Information Services
IITUWUTMAS 	If I Tell You Will You Tell Me A Secret?
IITWI 	In It To Win It
IITYWIMIWHTKY 	If I Tell You What It Means I Will Have to Kill You
IITYWTMWYBMAD 	If I Tell You What This Means Will You Buy Me a Drink?
IITYWTMWYKM 	If I Tell You What This Means Will You Kiss Me?
IITYWYBMAD 	If I Tell You Will You Buy Me A Drink
IIUC 	If I Understand Correctly
IIWII 	It Is What It Is
IIWY 	If I Were You
IJ 	I'm Joking
IJAF 	It's Just A Fact
IJDK 	I Just Don't Know
IJG 	I Just Giggled
IJK 	I'm Just kidding
IJL 	I Just Laughed
IJS 	I'm Just Saying
IJWTK 	I Just Want To Know
IJWTS 	I Just Want To Say
IK 	I Know
IKH 	I Know, Huh?
IKHYF 	I Know How You Feel
IKLY 	I Kinda Like You
IKM 	I Know Man
IKMTY 	I Know More Than You
IKN 	I Know Not
IKR 	I Know, Right
IKT 	I Knew That
IKTF 	I Know The Feeling
IKTR 	I Know That's Right
IKWUM 	I Know What You Mean
IKWYDLS 	I Know What You Did Last Summer
IKWYL 	I Know Where You Live
IKWYM 	I Know What You Mean
IKY 	I Know You
IKYP 	I'll Keep You Posted
IL 	In Love
ILD 	Ich Liebe Dich (I Love You)
ILH 	I Love Him/Her
ILI 	I Love It
ILM 	I lige m
TTIWWP 	This Thread Is Worthless Without Pictures
TTJASI 	Take This Job And Shove It
TTM 	Talk To Me
TTMAB 	TO THE MOON AND BACK
TTML 	Talk To Me Later
TTO 	Time To Own
TTOTM 	That Time Of The Month
TTP 	To The Point
TTR 	Time To Relax
TTT 	Third Tier Toilet (bad school)
TTTE 	Thomas The Tank Engine
TTTH 	Talk To The Hand
TTTT 	These Things Take Time
TTTTY 	Time To Talk To You
TTUL 	Talk To You Later
TTUS 	Talk To You Soon.
TTUT 	Talk To You Tomorrow
TTUTT 	To Tell You the Truth
TTY 	Talk To You
TTYF 	Talk To You Forever
TTYIAB 	Talk To You In A Bit
TTYITM 	Talk To You In The Morning
TTYL 	Talk To You Later
TTYM 	Talk to You Ma
TTYN 	Talk To You Never
TTYRS 	Talk To You Real Soon
ILML 	I Love My Life
ILMO 	In Loving Memory Of
ILNY 	I Love New York
ILS 	Inflated Lat Syndrome
ILT 	I Like That
ILY 	I Love You
ILY2 	I Love You Too
ILYA 	I Love You All
IM 	Instant Message
IMAHO 	In My Absolutely Honest Opinion
IMAO 	In My Arrogant Opinion
IMAP 	Internet Message Access Protocol
IMBO 	In My Biased Opinion
IMCO 	In My Considered Opinion
IMD 	In My Defence
IMDB 	Internet Movie Database
IME 	In My Experience
IMEO 	In My Educated Opinion
IMF 	International Monetary Fund
IMH 	In My Head
IMHO 	In My Humble Opinion
IMK 	In My Knowledge
IMMAO 	In My Most Arrogant Opinion
IMMD 	It Made My Day
IMML 	It Made Me Laugh
IMNSHO 	In My Not So Humble Opinion
IMO 	In My Opinion
IMOO 	In My Own Opinion
IMP 	It's My Pleasure
IMPO 	In My Personal Opinion
IMR 	I Mean, Really
IMS 	Irritable Male Syndrome
IMSMR 	If Memory Serves Me Right
IMU 	I Miss You
IMUSM 	I Miss You So Much
IMVU 	Instant Messaging Virtual Universe
IMWTK 	Inquiring Minds Want To Know
IMY 	I Miss You
IMYA 	I Miss You Already
IMYM 	I Miss You More
IMYSM 	I Miss You So Much
IMYT 	I Miss You Too
INAH 	I Need A Hug
INB 	I'm Not Bothered
INBD 	It's No Big Deal
INCYDK 	In Case You Didn't Know
INPO 	In No Particular Order
INRS 	It's Not Rocket Science
INS 	I'm Not Sure
INTK 	I Need To Know
INTP 	Introverted iNtuitive Thinking Perceiving (personality type indicator)
INVU 	I Envy You
INWLY 	I Never Wanna Lose You
INY 	I Need You
IOAB 	I'm On A Boat
IOC 	International Olympic Committee
IOH 	I'm Outta Here
IOI 	Indication of Interest I'm Over It
IOIC 	If Only I Could
IOKIYAR 	It's Okay If You're A Republican
IOM 	Isle Of Man
IOMW 	I'm On My Way
ION 	In Other News
IOU 	I Owe You
IOW 	In Other Words
IOYK 	If Only You Knew
IP 	Internet Protocol Intellectual Property
IPA 	India Pale Ale Internet Protocol Address
IPC 	Ignore Post Count
IPO 	Initial Public Offering
IQ 	Intelligence Quotient
IR 	Infrared Injured Reserve
IRA 	Irish Republican Army
IRAH 	Insert Relevant Acronym Here
IRC 	Internet Relay Chat
IRDC 	I Really Don't Care
IRDK 	I Really Don't Know
IRL 	In Real Life
IRLY 	I Really Like You
IRMC 	I Rest My Case
IRS 	Internal Revenue Service
ISB 	I'm So Bored
ISBN 	International Standard Book Number
ISDK 	I Simply Don't Know
ISDN 	Integrated Services Digital Network
ISHK 	I Should Have Known
ISLY 	I Still Love You
ISO 	In Search Of
ISP 	Internet Service Provider
ISS 	International Space Station I'm So Sorry
ISSN 	International Standard Serial Number
ISTATOY 	I Saw This And Thought Of You
ISTG 	I Swear To God
ISTM 	It Seems To Me
ISTR 	I Seem To Recall
ISWYDT 	I See What You Did There
ISWYM 	I See What You Mean
IT 	Information Technology
ITA 	I Totally Agree
ITAI 	I'll Think About It
ITALY 	I Trust And Love You
ITC 	In This Channel In That Case
ITF 	In The Future
ITG 	In The Groove
ITIAILWY 	I Think I Am In Love With You
ITIKY 	I Think I Know You
ITILU 	I Think I Love You
ITILY 	I Think I Love You
ITK 	In The Know
ITM 	In the Mouth
ITMA 	It's That Man Again
ITN 	I Think Not
ITO 	In Terms Of
ITOY 	I'm Thinking Of You
ITP 	Inside The Perimeter
ITS 	I Think/Thought So
ITSO 	In The Style Of
ITT 	In This Thread
ITTET 	In These Tough Economic Times
ITV 	Independent TV (UK)
ITWYM 	Is That What You Mean?
OAN 	On Another Note
OAO 	Over And Out
OAP 	Old Age Pensioner
OATUS 	On A Totally Unrelated Subject
OAUS 	On An Unrelated Subject
OB 	Oh, Brother
OBBY 	Oh, Baby
OBE 	Overcome By Events Out of Body Experience Order of the British Empire
OBHWF 	One Big Happy Weasely Family
OBO 	Or Best Offer
OBQ 	Oh, Be Quiet
OBTW 	Oh, By The Way
OBX 	Outer Banks North Carolina
OC 	Of Course Original Character Orange County
OCD 	Obsessive Compulsive Disorder
OCN 	Of Course Not
OCO 	Oh, Come On
OCR 	Optical Character Recognition
OCT 	On Company Time
ODAAT 	One Day At  A Time
ODF 	Own Damn Fault
ODG 	Oh Dear God
ODL 	Oh Dear Lord
ODST 	Orbital Drop Shock Trooper (Gaming)
ODT 	On Dis Ting
OE 	Outlook Express Operator Error
OED 	Oxford English Dictionary
OEM 	Original Equipment Manufacurer
OFGS 	Oh, For God's Sake
OFH 	Old Folks' Home
OFOC 	Overwhelming Feelings of Concern
OG 	Original Gangster Old Git
OGIM 	Oh God It's Monday
OGK 	Only God Knows
OGN 	Online Gaming Network
OH 	Other Half
OHAC 	Own House And Car
OHIM 	Oh Hell, It's Monday
OHKO 	One Hit Knock Out
OHN 	Oh Hell, No!
OHS 	Operator Head Space
OHT 	One Handed Typing
LBNL 	Last But Not Least
LBR 	Loser Beyond Repair
LBRS 	Lower Blackrock Spire ( )
LBVS 	Laughing But Very Serious
LBW 	Leg Before Wicket (cricket)
LC 	Lower Case
LCD 	Liquid Crystal Display
LCTS 	Let's Change The Subject
LD 	Link Dead (Disconnection From Internet)
LDA 	Long Distance Affair
LDH 	Long Distance Hug
LDI 	Let's Do It
LDL 	Long Distance Lover
LDO 	Like Duh, Obviously
LDR 	Long Distance Relationship
LDS 	Latter Day Saint
LE 	Limited Edition Law Enforcement
LEC 	Local Exchange Carrier
LED 	Light Emiting Diode
LEO 	Law Enforcement Officer
LEV 	Low Emission Vehicle
LF 	Looking For
LF1M 	Looking For One More
LFDY 	Live Fast, Die Young
LFG 	Looking For Group
LFM 	Looking For More
LFMF 	Learn From My Fail
LFP 	Looking For Party (in  )
LFTI 	Looking Forward To It
LFTSU 	Look Forward To Seeing You
LFW 	Looking For Work
LG 	Little Girl
LGBTQ 	Lesbian, Gay, Bisexual, Trans, Questioning
LGD 	Let's Get Drunk
LGFB 	Looks Good From Behind
LGMH 	Love Gives Me Hope
LGO 	Life Goes On
ITYF 	I Think You'll Find
ITYL 	I'll Tell You Later
ITYM 	I Think You Mean
ITYS 	I Told You So
IVF 	In Vitro Fertilization
IWALY 	I Will Always Love You
IWBB 	I Will Be Back
IWC 	Internet Wrestling Community
IWHI 	I Would Hit It
IWID 	It's What I Do
IWIK 	I Wish I Knew
IWIWT 	I Wish I Were There
IYTT 	If You Think That
IYW 	If You Want/Will
IYWW 	If You Were Wondering
J 	Joking
JAF 	Just A Friend
JAPAN 	Just Always Pray At Night
JAS 	Just A Second
JAT 	Just A Thought
JATQ 	Just Answer The Question
JB 	Jail Bait Jonas Brothers
JBH 	Just Being Honest
AOYP 	Angel on Your Pillow
AP 	Associated Press
APB 	All Points Bulletin
APC 	Armoured Personnel Carrier
API 	Application Programming Interface
APM 	Actions Per Minute
APN 	As Per Normal
APO 	Authorized Personnel Only
APU 	As Per Usual
APYR 	As Per Your Request
AQ 	Adventure Quest (game)
AQAP 	As Quickly As Possible
AQF 	Ay Que Funny,
ARK 	Act of Random Kindness
PFB 	Please Find Below
PFC 	Private First Class
PFP 	Picture For Proof
PG 	Parental Guidance
PGA 	Professional Golfers' Association
PGDA 	Pretty Goddamn Awesome
PGP 	Pretty Good Privacy (encryption)
PHAT 	Pretty Hot And Tempting
PHB 	Pointy-Haired Boss (from Dilbert)
PIBE 	Play It By Ear
JBT 	Jack-Booted Thug
JBU 	Just Between Us
JBY 	Just Be Yourself
JC 	Jesus Christ Just Curious Just Chilling
JCB 	J C Bamford (excavator manufacturer)
JD 	Jack Daniel's
JDI 	Just Do It
JDLR 	Just Doesn't Look Right
JDM 	Japanese Domestic Market
JFF 	Just For Fun
JFK 	John Fitzgerald Kennedy New York airport Just For Kicks
JFN 	Just For Now
JFT 	Just For Today
JFTR 	Just For The Record
NOC 	No One Cares
NOI 	No Offense Intended
NOK 	Not Okay No One Knows
NOKD 	Not Our Kind, Dear
NOLY 	No One Likes You
NOM 	No Offence Meant
NOMB 	None Of My Business
NOS 	New Old Stock
NOTA 	None Of The Above
NOTB 	None Of Their Business
NOTW 	Not Of This World
NOYB 	None Of Your Business
NOYDB 	None Of Your Damn Business
NP 	No Problem
NPAA 	No Problem At All
NPC 	Non Player Character ( )
NPI 	No Pun Intended
NPNT 	No Picture, No Talk
NPO 	Never Pull Out
NPR 	National Public Radio No Purchase Required
NPW 	No Problem Whatsoever
NPZ 	No Problems
NQAT 	No Question About That
NQR 	Not Quite Right
NR 	No Reply No Reserve
NRA 	National Rifle Association
NRE 	New Relationship Energy
NRFB 	Never Removed From Box
NRI 	Non-Repairable Item
JFY 	Just For You
JFYI 	Just For Your Information
JG 	Juicy Gossip
JGB 	Just Got Back
JGH 	Just Got Home
JGI 	Just Google It
JGL 	Just Get Lost
JHC 	Jesus H Christ
JHP 	Jacketed Hollow Point (bullet)
JIC 	Just In Case
JICYDK 	Just In Case You Didn't Know
JJ 	Just Joking
JK 	Just Kidding
JKD 	Jeet Kune Do (Martial Art)
JLMK 	Just Let Me Know
JLS 	Jack the Lad Swing (band)
JLT 	Just like that
JLUK 	Just Letting You Know
OJ 	Only Joking
OJD 	Obsessive Jonas (Brothers) Disorder
OJT 	On Job Training
OLED 	Organic Light-Emitting Diode
OLLG 	One Less Lonely Girl
OLOY 	Only Losers Obey Yolo
OLTL 	One Life To Live
OM 	Old Man
OMA 	Oh My Allah
OMB 	On My Break
OMD 	Oh My Days
OMDB 	Over My Dead Body
OMFSM 	Oh My Flying Spaghetti Monster
OMFUG 	Other Music Found UnderGround
OMG 	Oh My God
OMGA 	Oh My Giddy Aunt
OMGD 	Oh My God Dude
OMGNA 	Oh My Gosh, Not Again
OMJ 	Oh My Jonas ( )
OMJC 	Oh My Jesus Christ
OML 	Oh My Lord
OMS 	Oh My Science
OMSJ 	Oh My Sweet Jesus!
OMT 	One More Thing
OMW 	On My Way
OMWH 	On My Way Home
OMZ 	Oh My Zeus
ONM 	Oh, Never Mind
ONNA 	Oh No, Not Again
ONNTA 	Oh No, Not This Again
ONO 	Or Nearest Offer
ONS 	One Night Stand
ONTD 	Oh No They Didn't
ONYD 	Oh No You Didn't
OOA 	Out Of Ammo
OOAK 	One Of A Kind
OOBE 	Out Of Body Experience
OOC 	Out Of Control/Character/Context
OOF 	Out Of Office
OOH 	Out Of Here
OOI 	Out Of Interest
OOM 	Out Of Mana ( )
OOMF 	One Of My Friends/Followers
OOML 	Out Of My League
OOMM 	Out Of My Mind
OOO 	Out Of Office
OOP 	Out Of Place
OOS 	Out Of Style
OOSOOM 	Out Of Sight, Out Of Mind
OOT 	Out Of Town
OOTB 	Out Of The Box
OOTC 	Obligatory On-Topic Comment
OOTD 	Offer Of The Day Outfit Of The Day
OOTO 	Out Of The Office
OOTW 	Out Of This World
OOYL 	Out Of Your League
OOYM 	Out Of Your Mind
OP 	Original Poster
OPB 	Other People's Business
OPK 	Other People's Kids
OPM 	Other People's Money
OPPS 	Misspelling of ‘oops'
OSFA 	One Size Fits All
OSLT 	Or Something Like That
OSO 	Other Significant Other
OSS 	Open Source Software
OST 	Original Sound Track
OT 	Off Topic
OTA 	Over The Air
OTB 	Off The boat
OTC 	Over The Counter
OTD 	On The Dot Out The Door
OTE 	Over The Edge
OTF 	Off Topic Forum
OTFL 	On The Floor Laughing
OTG 	On The Go Off The Ground
OTH 	Off The Hook
OTK 	Over The Knee
OTLTA 	One Thing Led To Another
OTM 	Of The Moment One Track Mind
OTN 	On That Note
OTO 	One Time Only
OTOH 	On The Other Hand
OTOOH 	On The Other Other Hand
OTP 	One True Pairing
OTR 	On The Run
OTS 	On The Side
OTT 	Over The Top
OTTH 	On The Third Hand
OTTOMH 	Off The Top Of My Head
OTW 	On The Way
OTW 	On The Whole
OTY 	Over To You
OU 	Open University
OUAT 	Once Upon A Time
OUO 	Official Use Only
OVA 	Original Video Animation
OVNO 	Or Very Near Offer
OWK 	Other World Kingdom
OWNM 	Oh Well, Never Mind
OWOA 	One Way Or Another
OWS 	Occupy Wall Street
OWTTE 	Or Words To That Effect
OY 	Oh Yeah
OYB 	On Your Bike
OYG 	Oh Your God
OYO 	On Your Own
PA 	Personal Assistant
PABX 	Private Automatic Branch Exchange
PAN 	Personal Area Network
PATD 	Panic At The Disco (band)
PATT 	Party All The Time
PAYE 	Pay As You Earn
PAYG 	Pay As You Go
PB 	Personal Best
PBB 	Pirate Bulletin Board
PBJ 	Peanut Butter and Jelly
PBN 	Paintball Nation
PBP 	Please Be Patient
PBQ 	Please Be Quiet
PBR 	Pabst Blue Ribbon (beer)
PBS 	Public Broadcasting Service
PBUH 	Peace Be Upon Him
PBWY 	Peace Be With You
PC 	Politically Correct Personal Computer
PCB 	Printed Circuit Board  Please Come Back
PCI 	Peripheral Component Interconnect
PCM 	Please Call Me
PCMCIA 	Personal Computer Memory Card International Association
PCMIA 	Personal Computer Manufacturer Interface Adaptor
PCMR 	PC Master Race
PD 	Public Domain
PDA 	Personal Digital Assistant
PDBAZ 	Please Don't Be A Zombie
PDEA 	Public Display of Elderly Affection
PDF 	Portable Document Format
PDG 	Pretty Damn Good
PDOA 	Public Display Of Affection
PDP 	Pretty Darn Precious
PDQ 	Pretty Damn Quick
PDT 	Pacific Daylight Time
PE 	Physical Education
PEBCAC 	Problem Exists Between Chair And Computer
PEBCAK 	Problem Exists Between Chair And Keyboard
PEBKAC 	Problem Exists Between Keyboard And Chair
PEMDAS 	Parenthesis, Exponents, Multiply, Divide, Add, Subtract
PEWS 	Post Election Withdrawal Syndrome
JLY 	Jesus Loves You
JLYK 	Just Letting You Know
JM 	Just Messing
JMA 	Just Messing Around
YTD 	Year To Date
YTM 	You're The Man
YTML 	You'll Thank Me Later
YTMND 	You're The Man Now, Dog
YTO 	You're The One
YTP 	YouTube Poop
YTTM 	You Talk Too Much You Talking To Me?
HBD 	Happy Birthday
HBK 	Heart Break Kid
HBN 	How About Now
HBO 	Home Box Office
JMHO 	Just My Humble Opinion
JML 	Just My Luck
JMO 	Just My Opinion
JMS 	Just Making Sure
JMT 	Just My Thoughts
JN 	Just Now
JOOC 	Just Out Of Curiosity
JP 	Just Playin'
JUAD 	Jumping Up And Down
JV 	Junior Varsity, amateur
JW 	Just Wondering
JWAS 	Just Wait And See
JWD 	Job Well Done
JWG 	Just a Wild Guess
JWTK 	Just Wanted To Know
JWTLYK 	Just Wanted To Let You Know
JWU 	Just Woke Up
JWW 	Just Was Wondering
KAFM 	Keep Away From Me
KCACO 	Keep Calm And Carry On
KCCO 	Keep Calm and Chive On
KD 	Kraft Dinner
KDR 	Kill/Death Ratio
KF 	Kinda Funny
KFC 	Kentucky Fried Chicken
KGB 	Russian secret police
KOD 	Kiss Of Death
KOS 	Kill On Sight
KOTC 	Kiss On The Cheek
KOTH 	King of the Hill (game)
KOTL 	Kiss On The Lips
KOTOR 	Knights Of The Old Republic (Game)
KP 	Korean Pride
KPC 	Keep Parents Clueless
KPG 	Keep the Party Going
KPI 	Key Performance Indicator
KR 	Kind Regards
KRO 	Keep Right On
KS 	Kill Steal
KTBFFH 	Keep The Blue Flag Flying High! (Chelsea FC Moto)
KTBSPA 	Keep The Backstreet Pride Alive
KTF 	Keep The Faith
KWIM 	Know What I Mean?
PVE 	Player versus Environment ( )
PVM 	Player Versus Monster
PVP 	Player v Player
PVR 	Personal Video Recorder
PWOR 	Proceeding With Orders Recieved
PWOS 	Parents Watching Over Shoulder
PX 	Post Exchange Part Exchange
PYP 	Play Your Position
PYT 	Pretty Young Thing
QA 	Quality Assurance Question and Answer
QANTAS 	Queensland and Northern Territory Aerial Service
QAP 	Quick As Possible Quickly As Possible
QB 	Quarter Back
QC 	Quality Control
QED 	Quod Erat Demonstrandum (it has been proved)
QFE 	Quoted For Emphasis
QFMT 	Quoted For More Truth
QFP 	Quoted For Posterity
QFT 	Quoted For Truth
QI 	Quite Interesting
QL 	Quite Laughing
QNO 	Quiet Night Out
QOL 	Quality Of Life
QOS 	Quantam Of Solace
QOTD 	Quote Of The Day
QOTSA 	Queens Of The Stone Age (Band)
QP 	Quarter Pound (of weed)
QQ4U 	Quick Question For You
QS 	Quick Scope
QVC 	Quality Value Convenience (shopping channel)
R5 	Region 5 (DVD region)
RA 	Resident Advisor Resident Assistant
RAC 	Rock Against Communism
RAK 	Random Act of Kindness
RAM 	Random Access Memory
RAOK 	Random Act Of Kindness
RAS 	Remote Access Server
RATM 	Rage Against the Machine (band)
RAWL 	Roll Around While Laughing
RAWR 	Right Answer, Wrong Reason
RBAY 	Right Back At You
RBG 	Revolutionary But Gangsta
RBTL 	Read Between The Lines
RBV 	Red Bull and Vodka
RC 	Random Chat Radio Controlled
RCT 	Roller Coster Tycoon
RD 	Real Deal
RDC 	Really Don't Care
RDH 	Rate Date Hate
RDJ 	Robert Downey Jr.
RDM 	Random Death Match
RDO 	Regular Day Off
RDR 	Red Dead Redemption (Game)
RFC 	Request For Comment
RFI 	Request For Information
RFID 	Radio Frequency Identification
RFP 	Request for Proposal
RFQ 	Request For Quotation
RFT 	Right First Time
RFTS 	Reach For The Stars
RFYL 	Run For Your Life
RGB 	Red, Green, Blue
RHCP 	Red Hot Chili Peppers (Band)
RHD 	Right Hand Drive
RHI 	Rumour Has It
RHIP 	Rank Has Its Privileges
RHS 	Right Hand Side
RINO 	Republican In Name Only
RIYL 	Recommended If You Like
RL 	Real Life
ATEOTD 	At The End Of The Day
ATF 	All Time Favorite
ATGATT 	All The Gear All The Time (motorcycling)
ATH 	All Time High
ATM 	At The Moment Automated Teller Machine (cash machine)
ATMO 	According To My Opinion
ATN 	Any Time Now
ATOY 	Always Thinking of you
ATQ 	Answer The Question
ATST 	At The Same Time
ATT 	At This Time All The Time
ATTT 	Ain't That The Truth
ATV 	All Terrain Vehicle
ATVB 	All The Very Best
ATW 	All The Way
ATWA 	All The Way Alive
BAC 	Back At Computer
BACS 	Bankers Automated Clearing System
BAGL 	Bust A Gut Laughing
BAH 	Bored As Hell
BBWL 	Be Back Way Later
BC 	Before Christ
RLAB 	Roll Like A Buffalo
RLF 	Real Life Friend
RLTW 	Rangers Lead The Way
RMA 	Return Merchandise Authorization
RME 	Rolling My Eyes
RML 	Read My Lips
GLU 	Guys/Girsl Like Us
GLWS 	Good Luck With Sale
GLWT 	Good Luck With That
GM 	Good Morning
IEP 	Individualized Education Program
IFM 	In Fond Memory
IGI 	I Get It
IGM 	I Got Mine
IGMC 	I'll Get My Coat
IGN 	In Game Name
IGNB 	I'm Going Now, Bye
IGNTS 	I've Got Nothing To Say
GMV 	Got My Vote
GMY 	Good Man Yourself
NMP 	Not My Problem
RMT 	Real-Money Trading
RMV 	Results May Vary
RN 	Right Now Registered Nurse
RNA 	Ribonucleic Acid
RNB 	Rhythm And Blues
RNG 	Random Number Generator
RNR 	Rock 'N Roll
RO 	Ragnarok Online ( )
ROAR 	Right Of Admission Reserved
ROFC 	Rolling On Floor Crying
ROFL 	Rolling On Floor Laughing
ROFLMFAO 	Rolling On Floor Laughing My F***ing A** Off
ROFLOL 	Rolling On Floor, Laughing Out Loud
ROG 	Really Old Git
ROH 	Ring of Honor (wrestling)
ROI 	Return on Investment
ROLF 	Rolling On Laughing Floor
ROR 	Raughing out Roud
ROS 	Right On Schedule
ROTC 	Reserve Officer Training Corps
ROTF 	Rolling On The Floor (laughing is implied)
ROTFFNAR 	Rolling On The Floor For No Apparent Reason
ROTFL 	Rolling On The Floor Laughing
ROTFLOL 	Rolling On The Floor Laughing Out Loud
RT 	Retweet Real Time
RTA 	Road Traffic Accident
RTB 	Return To Base
RTD 	Ready To Drink
RTF 	Return The Favour
RTFAQ 	Read The FAQ
TLOL 	Truly Laughing Out Loud
TLTR 	Too Long To Read
TLYK 	To Let You Know
TM 	Text Message Text Me Trademark
TMA 	Take My Advice
TMAI 	Tell Me About It
TMB 	Text Me Back
TMBG 	They Might Be Giants (band)
RTFD 	Read The F***ing Description
RTFI 	Read The Flipping Instructions
RTFM 	Read The Flipping Manual
RTFT 	Read The Flipping Thread
RTG 	Ready To Go
RTM 	Read The Manual
RTO 	Radio Telephone Operator
RTR 	Roll Tide Roll
RTS 	Real Time Strategy
RTV 	Rock The Vote
